LINK_IMAGE,FEC_ELECTION_YR,CMTE_NM,CMTE_ID,CMTE_TP,CMTE_DSGN,CMTE_FILING_FREQ,ADDRESS,CMTE_CITY,CMTE_ST,CMTE_ZIP,TRES_NM,CAND_ID,CAND_NAME,CAND_ELECTION_YR,FORM_TP_CD,RPT_TP,RPT_YR,RECEIPT_DT,INDV_ITEM_CONTB,INDV_UNITEM_CONTB,INDV_CONTB,INDV_REF,PTY_CMTE_CONTB,OTH_CMTE_CONTB,OTH_CMTE_REF,CAND_CNTB,TTL_CONTB,TTL_CONTB_REF,CAND_LOAN,CAND_LOAN_REPYMNT,OTH_LOANS,OTH_LOAN_REPYMTS,TTL_LOANS,TTL_LOAN_REPYMTS,TRANF_FROM_OTHER_AUTH_CMTE,TRANF_FROM_NONFED_ACCT_PER,TRANF_FROM_NONFED_LEVIN_PER,TTL_NONFED_TRANF_PER,OTHER_RECEIPTS,TTL_RECEIPTS,TTL_FED_RECEIPTS_PER,OP_EXP_PER,SHARED_FED_OP_EXP_PER,SHARED_NONFED_OP_EXP_PER,TTL_OP_EXP_PER,OFFSETS_TO_OP_EXP,SHARED_FED_ACTVY_FED_SHR_PER,SHARED_FED_ACTVY_NONFED_PER,NON_ALLOC_FED_ELECT_ACTVY_PER,TTL_FED_ELECT_ACTVY_PER,FED_CAND_CMTE_CONTB_PER,FED_CAND_CONTB_REF_PER,INDT_EXP_PER,COORD_EXP_BY_PTY_CMTE_PER,LOANS_MADE_PER,LOAN_REPYMTS_RECEIVED_PER,TRANF_TO_OTHER_AUTH_CMTE,FNDRSG_DISB,OFFSETS_TO_FNDRSG,EXEMPT_LEGAL_ACCTG_DISB,OFFSETS_TO_LEGAL_ACCTG,TTL_OFFSETS_TO_OP_EXP,OTHER_DISB_PER,TTL_FED_DISB_PER,TTL_DISB,NET_CONTB,NET_OP_EXP,COH_BOP,COH_COP,DEBTS_OWED_BY_CMTE,DEBTS_OWED_TO_CMTE,CVG_START_DT,TIME_STAMP,CVG_END_DT,POL_PTY_CMTE_CONTB,CAND_ID,COH_BOY,COH_COY,EXP_PRIOR_YRS_SUBJECT_LIM_PER,EXP_SUBJECT_LIMITS_PER,FED_FUNDS_PER,ITEM_CONVN_EXP_DISB_PER,ITEM_OTHER_DISB_PER,ITEM_OTHER_INCOME_PER,ITEM_OTHER_REF_REB_RET_PER,ITEM_REF_REB_RET_PER,OTHER_FED_OP_EXP_PER,SUBTTL_CONVN_EXP_DISB_PER,SUBTTL_OTHER_REF_REB_RET_PER,SUBTTL_REF_REB_RET_PER,TTL_COMMUNICATION_COST,TTL_EXP_SUBJECT_LIMITS,UNITEM_CONVN_EXP_DISB_PER,UNITEM_OTHER_DISB_PER,UNITEM_OTHER_INCOME_PER,UNITEM_OTHER_REF_REB_RET_PER,UNITEM_REF_REB_RET_PER
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00384073tabIndex=3","2024","EDWARDS FOR PRESIDENT","C00384073","P","P","Q","C/O 29 BRIARWOOD DRIVE","RINGGOLD","GA","30736","HAGGARD, LORA","P40002347","EDWARDS, JOHN","2008","F3P","Q1","2023","14-APR-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","21659403.9","19529492.32","0","0","331586.46","0","2023-01-01","2023-03-31T00:00:00-05:00","2023-03-31","0","P40002347","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00384073tabIndex=3","2024","EDWARDS FOR PRESIDENT","C00384073","P","P","Q","C/O 29 BRIARWOOD DRIVE","RINGGOLD","GA","30736","HAGGARD, LORA","P40002347","EDWARDS, JOHN","2008","F3P","Q2","2023","13-JUL-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","21659403.9","19529492.32","0","0","331586.46","0","2023-04-01","2023-06-30T00:00:00-05:00","2023-06-30","0","P40002347","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00384073tabIndex=3","2024","EDWARDS FOR PRESIDENT","C00384073","P","P","Q","C/O 29 BRIARWOOD DRIVE","RINGGOLD","GA","30736","HAGGARD, LORA","P40002347","EDWARDS, JOHN","2008","F3P","Q3","2023","15-OCT-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","21659403.9","19529492.32","0","0","331586.46","0","2023-07-01","2023-09-30T00:00:00-05:00","2023-09-30","0","P40002347","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00384073tabIndex=3","2024","EDWARDS FOR PRESIDENT","C00384073","P","P","Q","C/O 29 BRIARWOOD DRIVE","RINGGOLD","GA","30736","HAGGARD, LORA","P40002347","EDWARDS, JOHN","2008","F3P","YE","2023","30-JAN-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","21659403.9","19529492.32","0","0","331586.46","0","2023-10-01","2023-12-31T00:00:00-05:00","2023-12-31","0","P40002347","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00384073tabIndex=3","2024","EDWARDS FOR PRESIDENT","C00384073","P","P","Q","C/O 29 BRIARWOOD DRIVE","RINGGOLD","GA","30736","HAGGARD, LORA","P40002347","EDWARDS, JOHN","2008","F3P","Q1","2024","14-APR-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","21659403.9","19529492.32","0","0","331586.46","0","2024-01-01","2024-03-31T00:00:00-05:00","2024-03-31","0","P40002347","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00384388tabIndex=3","2024","SHARPTON 2004","C00384388","P","P","Q","205 CLIFFORD AVENUE ALEXANDRIA","ALEXANDRIA","VA","22305","RIVERA, ANDREW A.  ESQ.","P40002404","SHARPTON, REV ALFRED C","2004","F3P","Q1","2023","17-APR-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","713578.87","945326.02","-11636.54","-11636.54","925713.78","0","2023-01-01","2023-03-31T00:00:00-05:00","2023-03-31","0","P40002404","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00384388tabIndex=3","2024","SHARPTON 2004","C00384388","P","P","Q","205 CLIFFORD AVENUE ALEXANDRIA","ALEXANDRIA","VA","22305","RIVERA, ANDREW A.  ESQ.","P40002404","SHARPTON, REV ALFRED C","2004","F3P","Q2","2023","28-JUL-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","713578.87","945326.02","-11636.54","-11636.54","925713.78","0","2023-04-01","2023-06-30T00:00:00-05:00","2023-06-30","0","P40002404","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00384388tabIndex=3","2024","SHARPTON 2004","C00384388","P","P","Q","205 CLIFFORD AVENUE ALEXANDRIA","ALEXANDRIA","VA","22305","RIVERA, ANDREW A.  ESQ.","P40002404","SHARPTON, REV ALFRED C","2004","F3P","Q3","2023","22-OCT-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","713578.87","945326.02","-11636.54","-11636.54","925713.78","0","2023-07-01","2023-09-30T00:00:00-05:00","2023-09-30","0","P40002404","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00385153tabIndex=3","2024","SCHRINER PRESIDENTIAL ELECTION COMMITTEE","C00385153","P","P","Q","759 WOODLAWN RD","STEUBENVILLE","OH","43952","LEE SCHRINER","P00003962","SCHRINER, JOSEPH CHARLES","2020","F3P","Q1","2023","17-APR-23","0","0","","","0","","","","0","","0","0","","","0","0","0","","","","","0","","0","","","","","","","","","","","","","","","","0","","","","","","","0","12232","12075","15","15","","","2023-01-01","2023-03-31T00:00:00-05:00","2023-03-31","","P00003962","","","","","","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00385153tabIndex=3","2024","SCHRINER PRESIDENTIAL ELECTION COMMITTEE","C00385153","P","P","Q","759 WOODLAWN RD","STEUBENVILLE","OH","43952","LEE SCHRINER","P00003962","SCHRINER, JOSEPH CHARLES","2020","F3P","Q2","2023","12-JUL-23","0","0","","","0","","","","0","","0","0","","","0","0","0","","","","","0","","0","","","","","","","","","","","","","","","","0","","","","","","","0","12232","12075","15","15","","","2023-04-01","2023-06-30T00:00:00-05:00","2023-06-30","","P00003962","","","","","","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00385153tabIndex=3","2024","SCHRINER PRESIDENTIAL ELECTION COMMITTEE","C00385153","P","P","Q","759 WOODLAWN RD","STEUBENVILLE","OH","43952","LEE SCHRINER","P00003962","SCHRINER, JOSEPH CHARLES","2020","F3P","Q3","2023","14-OCT-23","0","0","","","0","","","","0","","0","0","","","0","0","0","","","","","0","","0","","","","","","","","","","","","","","","","0","","","","","","","0","12232","12075","15","15","","","2023-07-01","2023-09-30T00:00:00-05:00","2023-09-30","","P00003962","","","","","","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00385153tabIndex=3","2024","SCHRINER PRESIDENTIAL ELECTION COMMITTEE","C00385153","P","P","Q","759 WOODLAWN RD","STEUBENVILLE","OH","43952","LEE SCHRINER","P00003962","SCHRINER, JOSEPH CHARLES","2020","F3P","YE","2023","31-JAN-24","0","0","","","0","","","0","0","","0","0","","","0","0","","","","","","0","","0","","","","","","","","","","","","","","","","0","","","","","","","0","12232","12075","15","15","","","2023-10-01","2023-12-31T00:00:00-05:00","2023-12-31","","P00003962","","","","","","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00385153tabIndex=3","2024","SCHRINER PRESIDENTIAL ELECTION COMMITTEE","C00385153","P","P","Q","759 WOODLAWN RD","STEUBENVILLE","OH","43952","LEE SCHRINER","P00003962","SCHRINER, JOSEPH CHARLES","2020","F3P","Q1","2024","13-APR-24","0","0","","","0","","","0","0","","0","0","","","0","0","","","","","","0","","0","","","","","","","","","","","","","","","","0","","","","","","","0","12232","12075","15","15","","","2024-01-01","2024-03-31T00:00:00-05:00","2024-03-31","","P00003962","","","","","","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00432831tabIndex=3","2024","WUENSCHE FOR PRESIDENT INC","C00432831","P","P","T","9039 KATY FREEWAY SUITE 310","HOUSTON","TX","77024","VERNON EDGAR WUENSCHE","P80003817","WUENSCHE, VERNON EDGAR","2012","F3P","Q1","2023","10-APR-23","","","","","0","","","","0","","0","0","","","0","0","","","","","","0","","0","","","","","","","","","","","","","","","","0","","","","","","","","880","","582.84","582.84","","","2023-01-01","2023-03-31T00:00:00-05:00","2023-03-31","","P80003817","","","","","","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00432831tabIndex=3","2024","WUENSCHE FOR PRESIDENT INC","C00432831","P","P","T","9039 KATY FREEWAY SUITE 310","HOUSTON","TX","77024","VERNON EDGAR WUENSCHE","P80003817","WUENSCHE, VERNON EDGAR","2012","F3P","Q2","2023","18-JUL-23","","","","","0","","","","0","","0","0","","","0","0","","","","","","0","","0","","","","","","","","","","","","","","","","0","","","","","","","","880","","582.84","582.84","","","2023-04-01","2023-06-30T00:00:00-05:00","2023-06-30","","P80003817","","","","","","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00432831tabIndex=3","2024","WUENSCHE FOR PRESIDENT INC","C00432831","P","P","T","9039 KATY FREEWAY SUITE 310","HOUSTON","TX","77024","VERNON EDGAR WUENSCHE","P80003817","WUENSCHE, VERNON EDGAR","2012","F3P","Q3","2023","12-OCT-23","","","","","0","","","","0","","0","0","","","0","0","","","","","","0","","0","","","","","","","","","","","","","","","","0","","","","","","","","880","","582.84","582.84","","","2023-07-01","2023-09-30T00:00:00-05:00","2023-09-30","","P80003817","","","","","","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00432831tabIndex=3","2024","WUENSCHE FOR PRESIDENT INC","C00432831","P","P","T","9039 KATY FREEWAY SUITE 310","HOUSTON","TX","77024","VERNON EDGAR WUENSCHE","P80003817","WUENSCHE, VERNON EDGAR","2012","F3P","TER","2023","18-JAN-24","","","","","0","","","","0","","0","0","","","0","0","","","","","","0","","0","","","","","","","","","","","","","","","","0","","","","","","","","880","","582.84","582.84","","","2023-10-01","2023-12-31T00:00:00-05:00","2023-12-31","","P80003817","","","","","","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00458844tabIndex=3","2024","MARCO RUBIO FOR PRESIDENT","C00458844","P","P","Q","228 S. WASHINGTON ST., STE. 115","ALEXANDRIA","VA","22314","LISA LISKER","P60006723","RUBIO, MARCO","2016","F3P","Q1","2023","14-APR-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","769.42","52779.35","3609.89","3609.89","827657.12","0","2023-01-01","2023-03-31T00:00:00-05:00","2023-03-31","0","P60006723","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00458844tabIndex=3","2024","MARCO RUBIO FOR PRESIDENT","C00458844","P","P","Q","228 S. WASHINGTON ST., STE. 115","ALEXANDRIA","VA","22314","LISA LISKER","P60006723","RUBIO, MARCO","2016","F3P","Q2","2023","14-JUL-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","769.42","52779.35","3609.89","3609.89","827657.12","0","2023-04-01","2023-06-30T00:00:00-05:00","2023-06-30","0","P60006723","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00458844tabIndex=3","2024","MARCO RUBIO FOR PRESIDENT","C00458844","P","P","Q","228 S. WASHINGTON ST., STE. 115","ALEXANDRIA","VA","22314","LISA LISKER","P60006723","RUBIO, MARCO","2016","F3P","Q3","2023","14-OCT-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","769.42","52779.35","3609.89","3609.89","827657.12","0","2023-07-01","2023-09-30T00:00:00-05:00","2023-09-30","0","P60006723","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00458844tabIndex=3","2024","MARCO RUBIO FOR PRESIDENT","C00458844","P","P","Q","228 S. WASHINGTON ST., STE. 115","ALEXANDRIA","VA","22314","LISA LISKER","P60006723","RUBIO, MARCO","2016","F3P","YE","2023","31-JAN-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","769.42","52779.35","3609.89","3609.89","827657.12","0","2023-10-01","2023-12-31T00:00:00-05:00","2023-12-31","0","P60006723","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00458844tabIndex=3","2024","MARCO RUBIO FOR PRESIDENT","C00458844","P","P","Q","228 S. WASHINGTON ST., STE. 115","ALEXANDRIA","VA","22314","LISA LISKER","P60006723","RUBIO, MARCO","2016","F3P","Q1","2024","15-APR-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","-5441.47","548096.12","3609.89","3609.89","827657.12","0","2024-01-01","2024-03-31T00:00:00-05:00","2024-03-31","0","P60006723","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00496034tabIndex=3","2024","RICK SANTORUM FOR PRESIDENT, INC. (2012)","C00496034","P","P","Q","PO BOX 238","VERONA","PA","15147","ROTHMAN, GREG","P20002721","SANTORUM, RICHARD J.","2016","F3P","Q1","2023","03-APR-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","376.01","376.01","452309.74","0","2023-01-01","2023-03-31T00:00:00-05:00","2023-03-31","0","P20002721","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00496034tabIndex=3","2024","RICK SANTORUM FOR PRESIDENT, INC. (2012)","C00496034","P","P","Q","PO BOX 238","VERONA","PA","15147","ROTHMAN, GREG","P20002721","SANTORUM, RICHARD J.","2016","F3P","Q2","2023","10-JUL-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","376.01","376.01","452309.74","0","2023-04-01","2023-06-30T00:00:00-05:00","2023-06-30","0","P20002721","","","","","0","","","","","","","","","","","","","","","",""
